bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Residencial Elizene Santana,-16.6510533,-49.2718514,3675.74,-1793.95,3205.82
Residencial Estrela Dalva,-16.5885862,-49.3133707,11906.76,-6213.96,10147.97
Residencial Fidelis,-16.7444082,-49.368488,14054.52,-12081.57,-7168.99
Residencial Flamingo,-16.7400362,-49.3302621,10438.39,-8012.17,-6683.11
Residencial Flores do Cerrado,-16.7333465,-49.0760434,19964.19,19051.15,-5939.67
Residencial Flórida,-16.7168019,-49.3481832,10739.37,-9919.99,-4101.02
Residencial Fonte das Águas,-16.6005797,-49.3767388,15684.69,-12959.93,8815.1
Residencial Fortaleza,-16.6100611,-49.34310809999999,12182.6,-9379.71,7761.4
Residencial Forteville,-16.7472604,-49.3729306,14623.21,-12554.52,-7485.96
Residencial Forteville Extensão,-16.7486102,-49.3710265,14527.75,-12351.81,-7635.97
Residencial Frei Galvão,-16.7103947,-49.2568125,3396.35,-192.95,-3388.97
Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Residencial Goiânia Viva,-16.6971561,-49.3488176,10175.2,-9987.53,-1917.72
Residencial Goyaz Park,-16.7060016,-49.378643,13485.12,-13162.64,-2900.75
Residencial Granville,-16.7163479,-49.3285198,8816.97,-7826.69,-4050.56
Residencial Green Park,-16.6149936,-49.3564312,12994.47,-10798.05,7213.24
Residencial Guarema,-16.6373664,-49.2860442,5771.06,-3304.87,4726.88
Residencial Hugo de Moraes,-16.6352672,-49.2923818,6363.09,-3979.55,4960.17
Residencial Humaitá,-16.622154,-49.2761581,6805.19,-2252.42,6417.48
Residencial Itaipu,-16.7844735,-49.3678533,16722.13,-12014.01,-11621.56
Residencial Itamaracá,-16.6473997,-49.30062179999999,6056.27,-4856.75,3611.85
Residencial Itália,-16.6214845,-49.2949171,7763.7,-4249.45,6491.89
Residencial Jardim Belvedere Expansão,-16.6348111,-49.308229,7569.04,-5666.59,5010.86
Residencial Jardim Camargo,-16.6126117,-49.34252799999999,11955.49,-9317.95,7477.95
Residencial Jardim Helou,-16.707404,-49.2889563,4736.38,-3614.88,-3056.6
Residencial Jardim Leblon,-16.6748197,-49.3228123,7245.26,-7219.08,564.59
Residencial Jardins Londres,-16.7142843,-49.217834,5503.38,3956.57,-3821.23
Residencial Jardins do Cerrado 1,-16.6670479,-49.4183281,17456.27,-17387.39,1428.29
Residencial Jardins do Cerrado 10,-16.6814399,-49.4388037,19578.74,-19567.16,-171.13
Residencial Jardins do Cerrado 2,-16.6714766,-49.41546990000001,17118.66,-17083.12,936.12
Residencial Jardins do Cerrado 3,-16.6675725,-49.420903,17725.01,-17661.51,1369.99
Residencial Jardins do Cerrado 4,-16.6659117,-49.4300801,18714.3,-18638.47,1554.56
Residencial Jardins do Cerrado 6,-16.6727872,-49.4293984,18593.43,-18565.9,790.47
Residencial Jardins do Cerrado 7,,,,,
Residencial José Viandeli,-16.6204741,-49.2820969,7210.89,-2884.65,6604.18
Residencial João Paulo II,-16.6037967,-49.21438389999999,9504.45,4323.86,8457.58
Residencial Junqueira,-16.6587533,-49.3792777,13445.53,-13230.21,2350.1
Residencial Juscelino Kubitschek,-16.689379,-49.3027561,5194.73,-5083.96,-1053.43
Residencial Kátia,-16.7371824,-49.3613788,12997.12,-11324.75,-6365.96
Residencial Licardino Ney,-16.6148981,-49.2873116,8005.73,-3439.79,7223.85
Residencial Linda Vista,-16.8212052,-49.3697969,19906.95,-12220.92,-15703.66
Residencial London Park,-16.6484212,-49.3583347,11550.84,-11000.69,3498.33
Residencial Lucy Pinheiro,-16.653862,-49.17465180000001,9035.41,8553.62,2893.68
Residencial Lírios do Campo,-16.7002133,-49.413882,17072.68,-16914.08,-2257.48
Residencial Manhattan,-16.6812415,-49.2691102,1510.34,-1502.13,-149.08
Residencial Mansões Paraíso,-16.6235482,-49.3443769,11398.33,-9514.78,6262.54
Residencial Mar Del Plata,-16.664592,-49.1784105,8334.03,8153.48,1701.22
Residencial Maria Lourença,-16.6246299,-49.2955509,7512.14,-4316.92,6142.33
Residencial Mendanha,-16.6835657,-49.3716855,12435.46,-12421.97,-407.38
Residencial Mirante,-16.6985307,-49.28854279999999,4129.86,-3570.86,-2070.48
Residencial Monte Carlo,-16.726997,-49.3354964,10046.09,-8569.39,-5234.03
Residencial Monte Pascoal,-16.694029,-49.4022921,15766.88,-15680.25,-1570.2
Residencial Monte Pascoal II,-16.694029,-49.4022921,15766.88,-15680.25,-1570.2
Residencial Montes Claros,-16.6191784,-49.2188138,7774.95,3852.27,6748.17
Residencial Morada do Bosque,-16.5946984,-49.260067,9489.35,-539.42,9468.71
Residencial Morumbi,-16.6468052,-49.27780629999999,4409.58,-2427.89,3677.92
Residencial Mundo Novo 2,,,,,
Residencial Noroeste,-16.5704687,-49.3715589,17386.65,-12408.49,12161.42
Residencial Nossa Morada,-16.5848943,-49.25785,10568.51,-303.4,10558.26
Residencial Nova Aurora,-16.686503,-49.3722959,12515.25,-12486.95,-733.81
Residencial Nunes de Morais 1ª Etapa,,,,,
Residencial Olinda,-16.6864615,-49.1999211,5911.89,5863.53,-729.2
Residencial Orlando Morais,-16.5475887,-49.2707795,14808.11,-1679.84,14704.15
Residencial Paraíso,-16.7203289,-49.0930348,17826.25,17242.3,-4492.98
Residencial Park Solar,-16.625184,-49.3589692,12637.02,-11068.23,6080.75
Residencial Parque Mendanha,-16.692188,-49.244328,1777.37,1136.11,-1365.6
Residencial Parque Oeste,-16.6961818,-49.3332764,8531.66,-8333.06,-1809.44
Residencial Paulo Estrela,-16.6442325,-49.1791241,9003.37,8077.51,3963.83
Residencial Petrópolis,-16.6868491,-49.2707899,1850.86,-1680.94,-772.27
Residencial Pilar dos Sonhos,-16.6566978,-49.3705124,12572.25,-12297.09,2578.53
Residencial Ponta Negra,-16.7123094,-49.25984930000001,3640.58,-516.24,-3601.75
Residencial Portal do Oriente,-16.7604629,-49.3678533,14989.51,-12014.01,-8953.19
Residencial Portinari,-16.6819967,-49.3749911,12783.05,-12773.87,-233.01
Residencial Porto Dourado,-16.7435635,-49.2798974,7559.35,-2650.5,-7075.11
Residencial Porto Maranata - Fazenda Dourados,-16.8135508,-49.365663,18965.85,-11780.83,-14853.01
Residencial Porto Seguro,-16.7123006,-49.3342278,9175.26,-8434.34,-3600.77
Residencial Português,-16.6212013,-49.30100789999999,8162.4,-4897.86,6523.36
Residencial Primavera,-16.6809442,-49.3919742,14590.39,-14581.84,-116.05
Residencial Privê Ilhas do Caribe,-16.7115763,-49.2673683,3760.52,-1316.69,-3520.28
Residencial Privê Norte,,,,,
Residencial Real Conquista,-16.7817773,-49.38434280000001,17833.57,-13769.43,-11321.93
Residencial Recanto das Emas,-16.7382467,-49.3673868,13614.47,-11964.34,-6484.24
Residencial Recanto das Garças,-16.643001,-49.3862604,14572.25,-13973.57,4100.69
Residencial Recanto do Bosque,-16.6021529,-49.3069611,10265.61,-5531.61,8640.26
Residencial Recanto dos Buritis,-16.781035,-49.3193698,13170.1,-6852.61,-11239.43
Residencial Recreio Panorama,-16.6294186,-49.3056932,7789.27,-5396.64,5610.15
Residencial Recreio Panorama Extensão,-16.6294186,-49.3056932,7789.27,-5396.64,5610.15
Residencial Rio Jordão,-16.6421871,-49.1817378,8859.66,7799.26,4191.15
Residencial Rio Verde,-16.7379568,-49.3691226,13762.13,-12149.13,-6452.02
Residencial San Marino,-16.7324934,-49.0690842,20645.9,19792.01,-5844.86
Residencial Santa Efigênia,-16.6734427,-49.2672383,1488.26,-1302.85,717.62
Residencial Santa Fé,,,,,
Residencial Santa Fé I,-16.7481632,-49.3818168,15492.52,-13500.52,-7586.29
Residencial Santa Rita - 4ª Etapa,-16.6773236,-49.3284816,7832.27,-7822.62,286.32
Residencial Sevilha,-16.7438727,-49.3421566,11694.32,-9278.42,-7109.48
Residencial Shangri-lá I,-16.584209,-49.2627114,10672.03,-820.93,10634.42
Residencial Shangri-lá II,-16.6868491,-49.2707899,1850.86,-1680.94,-772.27
Residencial Solar Bougainville,-16.7307534,-49.3589692,12433.21,-11068.23,-5651.49
Residencial Solar Ville,-16.6296778,-49.3627765,12767.53,-11473.55,5581.34
Residencial Sonho Dourado,-16.6569723,-49.1992883,6458.99,5930.89,2548.02
Residencial Sonho Verde,-16.6882681,-49.2125782,4613.32,4516.09,-929.97
Residencial São Bernardo,,,,,
Residencial São Leopoldo,-16.6526207,-49.1784105,8704.24,8153.48,3031.63
Residencial São Leopoldo Complemento,-16.6505236,-49.1746153,9164.82,8557.5,3264.69
Residencial São Marcos,-16.7031522,-49.3741999,12956.54,-12689.64,-2584.09
Residencial Talismã,-16.7405019,-49.3519898,12333.06,-10325.23,-6734.87
Residencial Talismã I,-16.7405019,-49.3519898,12333.06,-10325.23,-6734.87
Residencial Tempo Novo,-16.6503511,-49.384356,14165.89,-13770.83,3283.86
Residencial Tuzimoto,,,,,
Residencial Vale das Brisas,-16.722155,-49.3381584,10025.87,-8852.78,-4695.92
Residencial Vale do Araguaia,-16.6811642,-49.2037769,5457.88,5453.05,-140.49
Residencial Vale dos Sonhos I,-16.600571,-49.20278930000001,10428.35,5558.19,8816.07
Residencial Vereda dos Buritis,-16.7199506,-49.3437425,10448.17,-9447.25,-4450.94
Residencial Village Campos Verdes,-16.6765366,-49.1903488,6896.61,6882.56,373.78
Residencial Village Santa Rita I,-16.7253035,-49.3584886,12123.16,-11017.07,-5045.83
Residencial Village Santa Rita II,-16.7253035,-49.3584886,12123.16,-11017.07,-5045.83
Residencial Village Santa Rita III,-16.7253035,-49.3584886,12123.16,-11017.07,-5045.83
Residencial Village Santa Rita IV,-16.735958,-49.3495777,11845.32,-10068.44,-6229.89
Residencial Villagio Toscana,-16.6015455,-49.2450932,8776.32,1054.65,8707.77
Residencial Ville de France,-16.7431942,-49.18916480000001,9934.41,7008.61,-7034.07
Residencial Ytapuã,-16.6855938,-49.3938789,14806.18,-14784.61,-632.77
Residencial das Acácias,-16.6252278,-49.29808629999999,7617.48,-4586.83,6075.88
Rodoviário,-16.6736108,-49.300797,4928.07,-4875.4,698.94
Santa Genoveva,-16.6381213,-49.2360011,5067.31,2022.56,4642.99
Santo Hilário,-16.6502346,-49.1935936,7325.94,6537.13,3296.8
Santo Hilário Expansão,-16.6502346,-49.1935936,7325.94,6537.13,3296.8
Serrinha,-16.7220116,-49.2664018,4837.49,-1213.8,-4679.99
Setor Aeroporto,-16.669274,-49.2664018,1694.44,-1213.8,1180.9
Setor Alto do Vale,-16.6162316,-49.310765,9242.0,-5936.57,7075.66
Setor Andréia,-16.7886103,-49.3641976,16772.92,-11624.83,-12081.3
Setor Areião II,-16.614993,-49.2949365,8378.04,-4251.51,7213.31
Setor Asa Branca,-16.6090842,-49.2094136,9251.59,4852.98,7869.97
Setor Barra da Tijuca,-16.657439,-49.3588748,11343.37,-11058.18,2496.16
Setor Bela Vista,-16.7145149,-49.260067,3886.65,-539.42,-3846.86
Setor Bueno,-16.7010209,-49.2739638,3097.64,-2018.83,-2347.23
Setor Campinas,-16.6608843,-49.2927256,4540.92,-4016.15,2113.27
Setor Castelo Branco,-16.6812647,-49.29681859999999,4456.93,-4451.88,-151.66
Setor Central,-16.6716683,-49.2562665,925.21,-134.83,914.81
Setor Centro Oeste,-16.653959,-49.2739164,3518.63,-2013.78,2882.9
Setor Coimbra,-16.6788658,-49.2866779,3376.18,-3372.33,114.93
Setor Criméia Leste,-16.6474056,-49.260067,3653.31,-539.42,3611.2
Setor Criméia Oeste,-16.6492027,-49.2676689,3670.49,-1348.69,3411.48
Setor Cristina,,,,,
Setor Cândida de Morais,-16.6500874,-49.32725139999999,8380.1,-7691.66,3313.16
Setor Empresarial,-16.6399886,-49.31239979999999,7555.41,-6110.6,4435.47
Setor Estrela Dalva,-16.591353,-49.3221781,12172.47,-7151.57,9840.49
Setor Faiçalville,-16.7418356,-49.3196417,9737.71,-6881.55,-6883.09
Setor Garavelo,-16.7490517,-49.3500865,12714.95,-10122.61,-7685.03
Setor Gentil Meireles,-16.6486017,-49.2854104,4754.58,-3237.4,3478.27
Setor Grajaú,-16.7603976,-49.3633081,14599.84,-11530.14,-8945.94
Setor Jaó,-16.6429532,-49.22934830000001,4934.08,2730.8,4106.01
Setor Leste Universitário,-16.6767339,-49.2460984,1011.42,947.64,351.86
Setor Leste Vila Nova,-16.6653817,-49.24449749999999,1964.11,1118.06,1613.46
Setor Marabá,-16.6419449,-49.3173265,7867.28,-6635.08,4218.06
Setor Marechal Rondon,-16.6635821,-49.2676689,2261.29,-1348.69,1813.46
Setor Maria Celeste,-16.7654045,-49.3507209,13939.3,-10190.14,-9502.37
Setor Maria Rosa,-16.6132725,-49.2271373,7981.17,2966.17,7404.51
Setor Marista,-16.6996858,-49.2612782,2299.46,-668.36,-2198.85
Setor Maysa Extensão,-16.6444995,-49.3875301,14656.41,-14108.74,3934.16
Setor Morada do Sol,-16.6153242,-49.3221781,10137.99,-7151.57,7176.5
Setor Morais,-16.674947,-49.25998509999999,765.04,-530.7,550.44
Setor Negrão de Lima,-16.6551911,-49.2423333,3060.94,1348.46,2745.97
Setor Noroeste,-16.6383299,-49.3184193,8185.89,-6751.42,4619.81
Setor Norte Ferroviário,-16.6578785,-49.2618853,2556.16,-732.99,2447.31
Setor Norte Ferroviário II,-16.655793,-49.2651348,2889.81,-1078.92,2679.08
Setor Nova Vila,-16.6605846,-49.2549997,2147.77,0.03,2146.58
Setor Novo Horizonte,-16.6868491,-49.2707899,1850.86,-1680.94,-772.27
Setor Novo Planalto,-16.6260935,-49.3475488,11532.69,-9852.45,5979.68
Setor Oeste,-16.6848554,-49.2714702,1838.82,-1753.37,-550.71
Setor Orientville,-16.7481355,-49.3568486,13236.98,-10842.48,-7583.21
Setor Parque Tremendão,-16.619211,-49.3335936,10753.78,-8366.83,6744.55
Setor Pedro Ludovico,-16.7133125,-49.2549997,3715.3,0.03,-3713.23
Setor Perim,-16.6500995,-49.2866779,4729.42,-3372.33,3311.82
Setor Progresso,-16.6480009,-49.2930156,5383.37,-4047.02,3545.04
Setor Recanto das Minas Gerais,-16.6452923,-49.1853689,8356.32,7412.71,3846.06
Setor Rio Formoso,-16.7223475,-49.3335936,9609.59,-8366.83,-4717.32
Setor Santa Rita,-16.6516447,-49.2726905,3663.66,-1883.27,3140.09
Setor Santos Dumont,-16.6548742,-49.3475488,10243.8,-9852.45,2781.19
Setor Sevene,-16.6369152,-49.291748,6178.21,-3912.08,4777.03
Setor Sol Nascente,-16.6896559,-49.291748,4061.7,-3912.08,-1084.2
Setor Solar Santa Rita,-16.7187531,-49.3589692,11886.22,-11068.23,-4317.86
Setor Sudoeste,-16.6923696,-49.2978321,4768.22,-4559.77,-1385.78
Setor Sul,-16.6895066,-49.2529778,1089.7,215.28,-1067.61
Setor São José,-16.657588,-49.3031574,5698.29,-5126.68,2479.6
Setor Três Marias,-16.7397524,-49.3308456,10466.09,-8074.28,-6651.57
Setor Três Marias I,-16.7397524,-49.3308456,10466.09,-8074.28,-6651.57
Setor União,-16.7040496,-49.31203300000001,6641.62,-6071.55,-2683.82
Setor Urias Magalhães,-16.6345264,-49.2613339,5090.23,-674.29,5042.5
Setor das Nações,-16.6778288,-49.3810389,13427.23,-13417.7,230.18
Setor das Nações Extensão,-16.6852991,-49.3824516,13588.74,-13568.09,-600.02
Setor dos Dourados,-16.7681059,-49.3519898,14243.52,-10325.23,-9802.58
Setor dos Funcionários,-16.6689764,-49.28034090000001,2959.99,-2697.71,1213.97
Solange Park II,-16.7040543,-49.3526243,10739.19,-10392.77,-2684.34
Solange Park III,-16.7053545,-49.3568145,11207.47,-10838.85,-2828.83
Solange Parque I,-16.7004452,-49.356369,11035.91,-10791.42,-2283.25
São Carlos,-16.5829329,-49.3475488,14611.13,-9852.45,10776.24
São Domingos,-16.5784561,-49.3335936,14048.43,-8366.83,11273.76
São Francisco,-16.6662609,-49.3335971,8508.42,-8367.2,1515.75
Sítio de Recreio Garavelo - Residencial Maratá,-16.7333739,-49.198592,8452.55,6005.02,-5942.71
Sítio de Recreio Ipê,-16.6507751,-49.2730541,3766.54,-1921.98,3236.74
Sítio de Recreio Mansões Bernardo Sayão,-16.6092342,-49.2024523,9647.96,5594.06,7853.3
Sítio de Recreio Panorama,-16.6283682,-49.308863,8109.19,-5734.08,5726.88
Sítio de Recreio Paraíso Tropical,-16.518372,-49.2562665,17961.6,-134.83,17951.08
Sítio de Recreio Pindorama,-16.7333739,-49.198592,8452.55,6005.02,-5942.71
Sítios de Recreio Caraíbas,-16.5626204,-49.2799082,13308.21,-2651.65,13033.63
Sítios de Recreio Mansões do Campus,-16.5698181,-49.291748,12851.51,-3912.08,12233.73
Sítios de Recreio São Geraldo,-16.6573998,-49.2988446,5298.35,-4667.56,2500.51
Sítios de Recreio dos Bandeirantes,-16.609273,-49.3780083,15277.79,-13095.07,7848.99
Vila Abajá,-16.6656805,-49.291748,4221.68,-3912.08,1580.26
Vila Adélia,-16.6887605,-49.32344639999999,7356.75,-7286.59,-984.69
Vila Aguiar,-16.6821637,-49.2955509,4326.63,-4316.92,-251.57
Vila Alpes,-16.7083349,-49.29833199999999,5594.4,-4612.99,-3160.05
Vila Alto da Glória,-16.7182373,-49.2328353,4872.9,2359.58,-4260.54
Vila Alvorada,-16.7062973,-49.308863,6444.19,-5734.08,-2933.61
Vila Americano do Brasil,-16.687557,-49.28794540000001,3610.96,-3507.26,-850.95
Vila Anchieta,-16.6928071,-49.312667,6307.71,-6139.05,-1434.4
Vila Aurora Oeste,-16.6773688,-49.3056932,5407.01,-5396.64,281.3
Vila Bela,-16.7077932,-49.2999879,5707.82,-4789.27,-3099.85
Vila Boa Sorte,-16.6869824,-49.2969534,4537.5,-4466.23,-787.09
Vila Canaã,-16.6893598,-49.3158372,6564.81,-6476.54,-1051.3
Vila Colemar Natal e Silva,-16.6659713,-49.23726749999999,2442.66,1887.75,1547.94
Vila Concórdia,-16.6629498,-49.18410369999999,7783.58,7547.4,1883.73
Vila Cristina,-16.6432068,-49.2930156,5748.65,-4047.02,4077.82
Vila Cristina Extensão,-16.6432068,-49.2930156,5748.65,-4047.02,4077.82
Vila Divino Pai Eterno,-16.728908,-49.2702031,5684.9,-1618.47,-5446.4
Vila Finsocial,-16.6237185,-49.31710529999999,9099.46,-6611.53,6243.62
Vila Fróes,-16.6484539,-49.2568999,3502.5,-202.26,3494.7
Vila Irany,-16.6575896,-49.2930156,4748.99,-4047.02,2479.42
Vila Isaura,-16.6617103,-49.2812914,3454.6,-2798.9,2021.48
Vila Itatiaia,-16.6030848,-49.2549997,8541.46,0.03,8536.7
Vila Jacaré,-16.6498767,-49.2667186,3564.19,-1247.53,3336.58
Vila Jaraguá,-16.6533959,-49.2549997,2947.12,0.03,2945.48
Vila Jardim Pompéia,-16.6107239,-49.2442331,7777.09,1146.21,7687.74
Vila Jardim São Judas Tadeu,-16.6165618,-49.2461329,7105.96,943.96,7038.96
Vila João Vaz,-16.6554265,-49.3129673,6747.92,-6171.02,2719.81
Vila Legionárias,-16.7307533,-49.2321761,6154.96,2429.76,-5651.48
Vila Luciana,-16.7025538,-49.3310566,8483.39,-8096.75,-2517.58
Vila Lucy,-16.6884597,-49.3069611,5615.82,-5531.61,-951.26
Vila Maria Dilce,-16.6318899,-49.3072781,7714.59,-5565.36,5335.5
Vila Maria José,-16.7115007,-49.23726749999999,3989.24,1887.75,-3511.88
Vila Maria Luiza,-16.6857278,-49.2195408,3832.11,3774.87,-647.66
Vila Martins,-16.672944,-49.2068702,5184.72,5123.75,773.04
Vila Mauá,-16.7020382,-49.3155149,6899.53,-6442.23,-2460.28
Vila Monticelli,-16.6504006,-49.2524662,3291.27,269.74,3278.36
Vila Mooca,-16.6780429,-49.3174224,6652.24,-6645.29,206.39
Vila Morais,-16.6623719,-49.2220728,4012.59,3505.33,1947.95
Vila Mutirão I,-16.6186459,-49.3554036,12680.81,-10688.65,6807.35
Vila Mutirão II,-16.6131464,-49.3475812,12344.11,-9855.9,7418.52
Vila Nossa Senhora Aparecida,-16.6432111,-49.2727374,4495.94,-1888.27,4077.35
Vila Nova Canaã,-16.6893598,-49.3158372,6564.81,-6476.54,-1051.3
Vila Oswaldo Rosa,-16.6664184,-49.231569,2911.46,2494.39,1498.25
Vila Paraíso,-16.6575907,-49.2727374,3118.29,-1888.27,2479.3
Vila Pedroso,-16.6578332,-49.1782313,8537.77,8172.55,2452.35
Vila Redenção,-16.7219947,-49.2461329,4775.04,943.96,-4678.11
Vila Regina,-16.657579,-49.3335936,8732.14,-8366.83,2480.6
Vila Rezende,-16.7202641,-49.3058116,7030.72,-5409.24,-4485.78
Vila Rizzo,-16.7231046,-49.3799125,14144.54,-13297.79,-4801.45
Vila Romana,-16.8204585,-49.3373992,17923.57,-8771.96,-15620.68
Vila Rosa,-16.7439155,-49.2930156,8189.01,-4047.02,-7114.23
Vila Santa Efigênia,-16.6898053,-49.2898467,3871.62,-3709.67,-1100.81
Vila Santa Helena,-16.6575905,-49.2828756,3869.25,-2967.55,2479.32
Vila Santa Isabel,-16.6689631,-49.2296697,2959.57,2696.58,1215.45
Vila Santa Maria - Conjunto Caiçara,-16.6749093,-49.2127091,4538.78,4502.16,554.63
Vila Santa Rita,-16.679017,-49.3202758,6953.64,-6949.06,98.13
Vila Santa Rita - 5ª Etapa,-16.7283478,-49.3386678,10412.71,-8907.01,-5384.15
Vila Santa Rita Acréscimo,-16.679017,-49.3202758,6953.64,-6949.06,98.13
Vila São Francisco,-16.6587891,-49.27780629999999,3378.2,-2427.89,2346.12
Vila São João,-16.706285,-49.2423785,3227.19,1343.65,-2932.24
Vila São Luiz,-16.6531313,-49.2707402,3416.31,-1675.65,2974.88
Vila São Tomaz,-16.7428295,-49.2779768,7412.96,-2446.04,-6993.54
Vila Xavier,-16.6640325,-49.2822419,3396.12,-2900.09,1763.4
Village Atalaia,-16.5924539,-49.2581667,9729.41,-337.12,9718.14
Village Casa Grande,-16.6129593,-49.2714702,7647.48,-1753.37,7439.32
Village Maringá,-16.6619022,-49.27663800000001,3052.48,-2303.51,2000.15
Village Santa Rita,-16.7217504,-49.36333519999999,12441.28,-11533.02,-4650.96
Village Veneza,-16.6619022,-49.27663800000001,3052.48,-2303.51,2000.15
Villar Baviera,,,,,
Zona Industrial Pedro Abrão,-16.67227,-49.253102,872.17,202.06,847.94
Água Branca,-16.6929227,-49.2296697,3062.03,2696.58,-1447.25
Área Rural de Goiânia,-16.6697464,-49.30537409999999,5483.29,-5362.67,1128.4
